index,H_name,H_SUPER_PATHWAY,H_SUB_PATHWAY,BRCA_Tang#H_name,BRCA_Terunuma#H_name,COAD#H_name,DLBCL#H_name,GBM#H_name,HCC#H_name,LiCa1#H_name,LiCa2#H_name,OV#H_name,PDAC#H_name,PRAD#H_name,RC12#H_name,RC18Flow#H_name,RC18MR#H_name,RC20#H_name
palmitoylcarnitine#Lipid#Carnitine Metabolism,palmitoylcarnitine,Lipid,Carnitine Metabolism,palmitoylcarnitine,palmitoylcarnitine,NA,palmitoylcarnitine,NA,palmitoylcarnitine,NA,NA,palmitoylcarnitine,palmitoylcarnitine,palmitoylcarnitine,palmitoylcarnitine,palmitoylcarnitine,palmitoylcarnitine,palmitoylcarnitine
stearoylcarnitine#Lipid#Carnitine Metabolism,stearoylcarnitine,Lipid,Carnitine Metabolism,stearoylcarnitine,stearoylcarnitine,NA,stearoylcarnitine,NA,stearoylcarnitine,stearoylcarnitine,stearoylcarnitine,stearoylcarnitine,stearoylcarnitine,stearoylcarnitine,stearoylcarnitine,stearoylcarnitine,stearoylcarnitine,stearoylcarnitine
laurylcarnitine#Lipid#Carnitine Metabolism,laurylcarnitine,Lipid,Carnitine Metabolism,NA,laurylcarnitine,NA,laurylcarnitine,NA,laurylcarnitine,laurylcarnitine,laurylcarnitine,NA,NA,laurylcarnitine,laurylcarnitine,laurylcarnitine,laurylcarnitine,laurylcarnitine
myristoylcarnitine#Lipid#Carnitine Metabolism,myristoylcarnitine,Lipid,Carnitine Metabolism,NA,NA,NA,myristoylcarnitine,NA,myristoylcarnitine,myristoylcarnitine,myristoylcarnitine,myristoylcarnitine,NA,NA,myristoylcarnitine,myristoylcarnitine,myristoylcarnitine,myristoylcarnitine
decanoylcarnitine#Lipid#Carnitine Metabolism,decanoylcarnitine,Lipid,Carnitine Metabolism,NA,NA,NA,NA,NA,decanoylcarnitine,NA,NA,NA,decanoylcarnitine,decanoylcarnitine,NA,decanoylcarnitine,decanoylcarnitine,decanoylcarnitine
ceramide (d16:1/24:1, d18:1/22:1)*#Lipid#Ceramides,ceramide (d16:1/24:1, d18:1/22:1)*,Lipid,Ceramides,NA,NA,NA,NA,NA,ceramide (d16:1/24:1, d18:1/22:1)*,NA,NA,NA,NA,NA,NA,ceramide (d16:1/24:1, d18:1/22:1)*,ceramide (d16:1/24:1, d18:1/22:1)*,ceramide (d16:1/24:1, d18:1/22:1)*
ceramide (d18:1/14:0, d16:1/16:0)*#Lipid#Ceramides,ceramide (d18:1/14:0, d16:1/16:0)*,Lipid,Ceramides,NA,NA,NA,NA,NA,ceramide (d18:1/14:0, d16:1/16:0)*,NA,NA,NA,NA,NA,NA,ceramide (d18:1/14:0, d16:1/16:0)*,ceramide (d18:1/14:0, d16:1/16:0)*,ceramide (d18:1/14:0, d16:1/16:0)*
ceramide (d18:1/17:0, d17:1/18:0)*#Lipid#Ceramides,ceramide (d18:1/17:0, d17:1/18:0)*,Lipid,Ceramides,NA,NA,NA,NA,NA,ceramide (d18:1/17:0, d17:1/18:0)*,NA,NA,NA,NA,NA,NA,ceramide (d18:1/17:0, d17:1/18:0)*,ceramide (d18:1/17:0, d17:1/18:0)*,ceramide (d18:1/17:0, d17:1/18:0)*
ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*#Lipid#Ceramides,ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*,Lipid,Ceramides,NA,NA,NA,NA,NA,ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*,NA,NA,NA,NA,NA,NA,ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*,ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*,NA
ceramide (d18:2/24:1, d18:1/24:2)*#Lipid#Ceramides,ceramide (d18:2/24:1, d18:1/24:2)*,Lipid,Ceramides,NA,NA,NA,NA,NA,ceramide (d18:2/24:1, d18:1/24:2)*,NA,NA,NA,NA,NA,NA,ceramide (d18:2/24:1, d18:1/24:2)*,ceramide (d18:2/24:1, d18:1/24:2)*,NA
N-(2-hydroxypalmitoyl)-sphingosine (d18:1/16:0(2OH))#Lipid#Ceramides,N-(2-hydroxypalmitoyl)-sphingosine (d18:1/16:0(2OH)),Lipid,Ceramides,NA,NA,NA,NA,NA,N-(2-hydroxypalmitoyl)-sphingosine (d18:1/16:0(2OH)),NA,NA,NA,NA,NA,NA,N-(2-hydroxypalmitoyl)-sphingosine (d18:1/16:0(2OH)),N-(2-hydroxypalmitoyl)-sphingosine (d18:1/16:0(2OH)),NA
N-behenoyl-sphingadienine (d18:2/22:0)*#Lipid#Ceramides,N-behenoyl-sphingadienine (d18:2/22:0)*,Lipid,Ceramides,NA,NA,NA,NA,NA,N-behenoyl-sphingadienine (d18:2/22:0)*,NA,NA,NA,NA,NA,NA,N-behenoyl-sphingadienine (d18:2/22:0)*,N-behenoyl-sphingadienine (d18:2/22:0)*,N-behenoyl-sphingadienine (d18:2/22:0)*
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*#Lipid#Ceramides,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,Lipid,Ceramides,NA,NA,NA,NA,NA,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,NA,NA,NA,NA,NA,NA,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*
N-palmitoyl-sphingadienine (d18:2/16:0)*#Lipid#Ceramides,N-palmitoyl-sphingadienine (d18:2/16:0)*,Lipid,Ceramides,NA,NA,NA,NA,NA,N-palmitoyl-sphingadienine (d18:2/16:0)*,NA,NA,NA,NA,NA,NA,N-palmitoyl-sphingadienine (d18:2/16:0)*,N-palmitoyl-sphingadienine (d18:2/16:0)*,N-palmitoyl-sphingadienine (d18:2/16:0)*
N-stearoyl-sphingadienine (d18:2/18:0)*#Lipid#Ceramides,N-stearoyl-sphingadienine (d18:2/18:0)*,Lipid,Ceramides,NA,NA,NA,NA,NA,N-stearoyl-sphingadienine (d18:2/18:0)*,NA,NA,NA,NA,NA,NA,N-stearoyl-sphingadienine (d18:2/18:0)*,N-stearoyl-sphingadienine (d18:2/18:0)*,NA
N-stearoyl-sphingosine (d18:1/18:0)*#Lipid#Ceramides,N-stearoyl-sphingosine (d18:1/18:0)*,Lipid,Ceramides,NA,NA,NA,NA,NA,N-stearoyl-sphingosine (d18:1/18:0)*,NA,NA,NA,NA,NA,NA,NA,NA,N-stearoyl-sphingosine (d18:1/18:0)*
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)#Lipid#Ceramides,palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),Lipid,Ceramides,NA,NA,NA,NA,NA,palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),NA,NA,NA,NA,NA,NA,palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)
N-nervonoyl-sphingadiene (d18:2/24:1)*#Lipid#Ceramides,N-nervonoyl-sphingadiene (d18:2/24:1)*,Lipid,Ceramides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-nervonoyl-sphingadiene (d18:2/24:1)*
2-ethylhexanoate#Xenobiotics#Chemical,2-ethylhexanoate,Xenobiotics,Chemical,2-ethylhexanoate,NA,NA,2-ethylhexanoate,NA,NA,NA,NA,NA,NA,2-ethylhexanoate,2-ethylhexanoate,NA,NA,NA
glycerol 2-phosphate#Xenobiotics#Chemical,glycerol 2-phosphate,Xenobiotics,Chemical,glycerol 2-phosphate,glycerol 2-phosphate,NA,glycerol 2-phosphate,NA,NA,NA,NA,glycerol 2-phosphate,glycerol 2-phosphate,glycerol 2-phosphate,glycerol 2-phosphate,NA,NA,NA
glycolate (hydroxyacetate)#Xenobiotics#Chemical,glycolate (hydroxyacetate),Xenobiotics,Chemical,glycolate (hydroxyacetate),NA,NA,glycolate (hydroxyacetate),glycolate (hydroxyacetate),NA,NA,NA,NA,glycolate (hydroxyacetate),NA,glycolate (hydroxyacetate),NA,NA,NA
heptaethylene glycol#Xenobiotics#Chemical,heptaethylene glycol,Xenobiotics,Chemical,heptaethylene glycol,NA,NA,heptaethylene glycol,NA,NA,NA,NA,heptaethylene glycol,NA,heptaethylene glycol,NA,NA,NA,NA
hexaethylene glycol#Xenobiotics#Chemical,hexaethylene glycol,Xenobiotics,Chemical,hexaethylene glycol,NA,NA,hexaethylene glycol,NA,NA,NA,NA,hexaethylene glycol,NA,hexaethylene glycol,NA,NA,NA,NA
methyl-alpha-glucopyranoside#Xenobiotics#Chemical,methyl-alpha-glucopyranoside,Xenobiotics,Chemical,methyl-alpha-glucopyranoside,NA,NA,methyl-alpha-glucopyranoside,NA,NA,NA,NA,NA,NA,methyl-alpha-glucopyranoside,methyl-alpha-glucopyranoside,NA,NA,NA
pentaethylene glycol#Xenobiotics#Chemical,pentaethylene glycol,Xenobiotics,Chemical,pentaethylene glycol,NA,NA,pentaethylene glycol,NA,NA,NA,NA,pentaethylene glycol,NA,pentaethylene glycol,NA,NA,NA,NA
tetraethylene glycol#Xenobiotics#Chemical,tetraethylene glycol,Xenobiotics,Chemical,tetraethylene glycol,NA,NA,tetraethylene glycol,NA,NA,NA,NA,tetraethylene glycol,NA,tetraethylene glycol,NA,NA,NA,NA
triethyleneglycol#Xenobiotics#Chemical,triethyleneglycol,Xenobiotics,Chemical,triethyleneglycol,NA,NA,triethyleneglycol,NA,NA,NA,NA,triethyleneglycol,NA,triethyleneglycol,triethyleneglycol,NA,NA,NA
phenol red#Xenobiotics#Chemical,phenol red,Xenobiotics,Chemical,NA,phenol red,NA,phenol red,NA,NA,NA,NA,NA,phenol red,NA,phenol red,phenol red,phenol red,phenol red
triethanolamine#Xenobiotics#Chemical,triethanolamine,Xenobiotics,Chemical,NA,NA,triethanolamine,NA,NA,NA,NA,NA,NA,NA,triethanolamine,NA,NA,NA,NA
octaethylene glycol#Xenobiotics#Chemical,octaethylene glycol,Xenobiotics,Chemical,NA,NA,NA,octaethylene glycol,NA,NA,NA,NA,NA,NA,octaethylene glycol,NA,NA,NA,NA
2-hydroxyisobutyrate#Xenobiotics#Chemical,2-hydroxyisobutyrate,Xenobiotics,Chemical,NA,NA,NA,2-hydroxyisobutyrate,NA,NA,NA,NA,NA,NA,NA,2-hydroxyisobutyrate,NA,NA,NA
HEPES#Xenobiotics#Chemical,HEPES,Xenobiotics,Chemical,NA,NA,NA,HEPES,NA,NA,NA,NA,HEPES,NA,NA,NA,NA,NA,NA
O-sulfo-L-tyrosine#Xenobiotics#Chemical,O-sulfo-L-tyrosine,Xenobiotics,Chemical,NA,NA,NA,NA,NA,O-sulfo-L-tyrosine,NA,NA,NA,NA,NA,NA,O-sulfo-L-tyrosine,O-sulfo-L-tyrosine,O-sulfo-L-tyrosine
perfluorooctanesulfonate (PFOS)#Xenobiotics#Chemical,perfluorooctanesulfonate (PFOS),Xenobiotics,Chemical,NA,NA,NA,NA,NA,perfluorooctanesulfonate (PFOS),NA,NA,NA,NA,NA,NA,perfluorooctanesulfonate (PFOS),perfluorooctanesulfonate (PFOS),perfluorooctanesulfonate (PFOS)
succinimide#Xenobiotics#Chemical,succinimide,Xenobiotics,Chemical,NA,NA,NA,NA,NA,succinimide,NA,NA,NA,NA,NA,NA,NA,NA,NA
sulfate*#Xenobiotics#Chemical,sulfate*,Xenobiotics,Chemical,NA,NA,NA,NA,NA,sulfate*,NA,NA,NA,NA,NA,NA,sulfate*,sulfate*,sulfate*
thioproline#Xenobiotics#Chemical,thioproline,Xenobiotics,Chemical,NA,NA,NA,NA,NA,thioproline,NA,NA,NA,NA,NA,NA,thioproline,thioproline,thioproline
2-ethylhexanoate (isobar with 2-propylpentanoate)#Xenobiotics#Chemical,2-ethylhexanoate (isobar with 2-propylpentanoate),Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,2-ethylhexanoate (isobar with 2-propylpentanoate),2-ethylhexanoate (isobar with 2-propylpentanoate),2-ethylhexanoate (isobar with 2-propylpentanoate),NA,NA,NA,NA
dexpanthenol#Xenobiotics#Chemical,dexpanthenol,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,dexpanthenol,NA,NA,NA,NA,NA
lactobionate#Xenobiotics#Chemical,lactobionate,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,lactobionate,NA,NA,NA,NA,NA
2-phenoxyethanol#Xenobiotics#Chemical,2-phenoxyethanol,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-phenoxyethanol,NA,NA,NA,NA
cyanurate#Xenobiotics#Chemical,cyanurate,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cyanurate,NA,NA,NA,NA
ricinoleic acid#Xenobiotics#Chemical,ricinoleic acid,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ricinoleic acid,NA,NA,NA,NA
1,2,3-benzenetriol sulfate (2)#Xenobiotics#Chemical,1,2,3-benzenetriol sulfate (2),Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3-benzenetriol sulfate (2),1,2,3-benzenetriol sulfate (2),1,2,3-benzenetriol sulfate (2)
3-hydroxypyridine sulfate#Xenobiotics#Chemical,3-hydroxypyridine sulfate,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-hydroxypyridine sulfate,3-hydroxypyridine sulfate,3-hydroxypyridine sulfate
lauryl sulfate#Xenobiotics#Chemical,lauryl sulfate,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lauryl sulfate,lauryl sulfate,lauryl sulfate
melamine#Xenobiotics#Chemical,melamine,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,melamine,melamine,NA
trizma acetate#Xenobiotics#Chemical,trizma acetate,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trizma acetate,trizma acetate,NA
2,4-di-tert-butylphenol#Xenobiotics#Chemical,2,4-di-tert-butylphenol,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4-di-tert-butylphenol
4-hydroxychlorothalonil#Xenobiotics#Chemical,4-hydroxychlorothalonil,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-hydroxychlorothalonil
2-methoxyresorcinol sulfate#Xenobiotics#Chemical,2-methoxyresorcinol sulfate,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-methoxyresorcinol sulfate
6-hydroxyindole sulfate#Xenobiotics#Chemical,6-hydroxyindole sulfate,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-hydroxyindole sulfate
4-acetamidobenzoate#Xenobiotics#Chemical,4-acetamidobenzoate,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-acetamidobenzoate
4-quinolinecarboxylic acid#Xenobiotics#Chemical,4-quinolinecarboxylic acid,Xenobiotics,Chemical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-quinolinecarboxylic acid
cortisone#Lipid#Corticosteroids,cortisone,Lipid,Corticosteroids,NA,NA,NA,NA,NA,NA,cortisone,cortisone,NA,NA,NA,cortisone,cortisone,cortisone,cortisone
tetrahydrocortisol#Lipid#Corticosteroids,tetrahydrocortisol,Lipid,Corticosteroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tetrahydrocortisol
tetrahydrocortisol glucuronide#Lipid#Corticosteroids,tetrahydrocortisol glucuronide,Lipid,Corticosteroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tetrahydrocortisol glucuronide
cortolone glucuronide (1)#Lipid#Corticosteroids,cortolone glucuronide (1),Lipid,Corticosteroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cortolone glucuronide (1)
creatine#Amino Acid#Creatine Metabolism,creatine,Amino Acid,Creatine Metabolism,creatine,creatine,creatine,creatine,NA,creatine,NA,NA,creatine,creatine,creatine,creatine,creatine,creatine,creatine
creatinine#Amino acid#Creatine Metabolism,creatinine,Amino acid,Creatine Metabolism,creatinine,creatinine,creatinine,creatinine,creatinine,creatinine,NA,NA,creatinine,creatinine,creatinine,creatinine,creatinine,creatinine,creatinine
guanidinoacetate#Amino Acid#Creatine Metabolism,guanidinoacetate,Amino Acid,Creatine Metabolism,NA,NA,guanidinoacetate,guanidinoacetate,NA,guanidinoacetate,guanidinoacetate,guanidinoacetate,NA,guanidinoacetate,NA,guanidinoacetate,guanidinoacetate,guanidinoacetate,guanidinoacetate
creatine phosphate#Amino Acid#Creatine Metabolism,creatine phosphate,Amino Acid,Creatine Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,creatine phosphate,creatine phosphate,creatine phosphate
2-hydroxybutyrate (AHB)#Amino acid#Cysteine, methionine, SAM, taurine metabolism,2-hydroxybutyrate (AHB),Amino acid,Cysteine, methionine, SAM, taurine metabolism,2-hydroxybutyrate (AHB),2-hydroxybutyrate (AHB),2-hydroxybutyrate (AHB),2-hydroxybutyrate (AHB),2-hydroxybutyrate (AHB),NA,NA,NA,2-hydroxybutyrate (AHB),2-hydroxybutyrate (AHB),2-hydroxybutyrate (AHB),2-hydroxybutyrate (AHB),NA,NA,NA
cystathionine#Amino acid#Cysteine, methionine, SAM, taurine metabolism,cystathionine,Amino acid,Cysteine, methionine, SAM, taurine metabolism,cystathionine,cystathionine,NA,cystathionine,NA,cystathionine,NA,NA,cystathionine,NA,NA,NA,NA,NA,cystathionine
cystine#Amino acid#Cysteine, methionine, SAM, taurine metabolism,cystine,Amino acid,Cysteine, methionine, SAM, taurine metabolism,cystine,cystine,NA,cystine,NA,cystine,cystine,cystine,cystine,cystine,cystine,cystine,cystine,cystine,cystine
hypotaurine#Amino acid#Cysteine, methionine, SAM, taurine metabolism,hypotaurine,Amino acid,Cysteine, methionine, SAM, taurine metabolism,hypotaurine,NA,hypotaurine,hypotaurine,hypotaurine,hypotaurine,hypotaurine,hypotaurine,hypotaurine,NA,hypotaurine,hypotaurine,hypotaurine,hypotaurine,hypotaurine
methionine#Amino acid#Cysteine, methionine, SAM, taurine metabolism,methionine,Amino acid,Cysteine, methionine, SAM, taurine metabolism,methionine,methionine,methionine,methionine,methionine,methionine,NA,NA,methionine,methionine,methionine,methionine,methionine,methionine,methionine
N-acetylmethionine#Amino acid#Cysteine, methionine, SAM, taurine metabolism,N-acetylmethionine,Amino acid,Cysteine, methionine, SAM, taurine metabolism,N-acetylmethionine,N-acetylmethionine,N-acetylmethionine,N-acetylmethionine,NA,N-acetylmethionine,NA,NA,N-acetylmethionine,N-acetylmethionine,N-acetylmethionine,N-acetylmethionine,N-acetylmethionine,N-acetylmethionine,N-acetylmethionine
S-adenosylhomocysteine (SAH)#Amino acid#Cysteine, methionine, SAM, taurine metabolism,S-adenosylhomocysteine (SAH),Amino acid,Cysteine, methionine, SAM, taurine metabolism,S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),NA,S-adenosylhomocysteine (SAH),NA,NA,S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH)
phenolphthalein beta-D-glucuronide#Xenobiotics#Detoxification metabolism,phenolphthalein beta-D-glucuronide,Xenobiotics,Detoxification metabolism,phenolphthalein beta-D-glucuronide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2-dipalmitoylglycerol#Lipid#Diacylglycerol,1,2-dipalmitoylglycerol,Lipid,Diacylglycerol,NA,NA,NA,1,2-dipalmitoylglycerol,NA,NA,NA,NA,1,2-dipalmitoylglycerol,1,2-dipalmitoylglycerol,1,2-dipalmitoylglycerol,NA,NA,NA,NA
1,3-dipalmitoylglycerol#Lipid#Diacylglycerol,1,3-dipalmitoylglycerol,Lipid,Diacylglycerol,NA,NA,NA,1,3-dipalmitoylglycerol,NA,NA,NA,NA,1,3-dipalmitoylglycerol,NA,1,3-dipalmitoylglycerol,NA,NA,NA,NA
diacylglycerol (14:0/18:1, 16:0/16:1) [2]*#Lipid#Diacylglycerol,diacylglycerol (14:0/18:1, 16:0/16:1) [2]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,diacylglycerol (14:0/18:1, 16:0/16:1) [2]*,NA,NA,NA,NA,NA,NA,diacylglycerol (14:0/18:1, 16:0/16:1) [2]*,diacylglycerol (14:0/18:1, 16:0/16:1) [2]*,NA
diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*#Lipid#Diacylglycerol,diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*,NA,NA,NA,NA,NA,NA,diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*,diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*,diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*#Lipid#Diacylglycerol,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,NA,NA,NA,NA,NA,NA,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*#Lipid#Diacylglycerol,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,NA,NA,NA,NA,NA,NA,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*#Lipid#Diacylglycerol,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,NA,NA,NA,NA,NA,NA,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*#Lipid#Diacylglycerol,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,NA,NA,NA,NA,NA,NA,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*#Lipid#Diacylglycerol,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,NA,NA,NA,NA,NA,NA,NA,NA,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*
oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*#Lipid#Diacylglycerol,oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,NA,NA,NA,NA,NA,NA,oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*#Lipid#Diacylglycerol,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,NA,NA,NA,NA,NA,NA,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*
oleoyl-linoleoyl-glycerol (18:1/18:2) [1]#Lipid#Diacylglycerol,oleoyl-linoleoyl-glycerol (18:1/18:2) [1],Lipid,Diacylglycerol,NA,NA,NA,NA,NA,oleoyl-linoleoyl-glycerol (18:1/18:2) [1],NA,NA,NA,NA,NA,NA,oleoyl-linoleoyl-glycerol (18:1/18:2) [1],oleoyl-linoleoyl-glycerol (18:1/18:2) [1],oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
oleoyl-linoleoyl-glycerol (18:1/18:2) [2]#Lipid#Diacylglycerol,oleoyl-linoleoyl-glycerol (18:1/18:2) [2],Lipid,Diacylglycerol,NA,NA,NA,NA,NA,oleoyl-linoleoyl-glycerol (18:1/18:2) [2],NA,NA,NA,NA,NA,NA,oleoyl-linoleoyl-glycerol (18:1/18:2) [2],oleoyl-linoleoyl-glycerol (18:1/18:2) [2],oleoyl-linoleoyl-glycerol (18:1/18:2) [2]
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*#Lipid#Diacylglycerol,oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,NA,NA,NA,NA,NA,NA,oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,NA
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*#Lipid#Diacylglycerol,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,NA,NA,NA,NA,NA,NA,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*#Lipid#Diacylglycerol,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,Lipid,Diacylglycerol,NA,NA,NA,NA,NA,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,NA,NA,NA,NA,NA,NA,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*
